code,name,sector,markets,asset_type,industries,risk
000001,平安银行,A股,A股,个股,银行,中高
000002,万科A,A股,A股,个股,,中高
000063,中兴通讯,A股,A股,个股,,中高
000657,中钨高新,A股,A股,个股,周期,中高
000737,北方铜业,A股,A股,个股,周期,中高
000858,五粮液,A股,A股,个股,白酒,中高
000938,紫光股份,A股,A股,个股,,中高
002069,獐子岛,A股,A股,个股,,中高
002202,金风科技,A股,A股,个股,科技,中高
002253,川大智胜,A股,A股,个股,,中高
002329,皇氏集团,A股,A股,个股,,中高
002345,潮宏基,A股,A股,个股,消费,中高
002382,蓝帆医疗,A股,A股,个股,医药,中高
002401,中远海科,A股,A股,个股,,中高
002481,双塔食品,A股,A股,个股,食品,中高
002515,金字火腿,A股,A股,个股,,中高
002557,洽洽食品,A股,A股,个股,消费;食品,中高
002584,西陇科学,A股,A股,个股,,中高
03441,南方东西,H股,香港,个股,,中高
03442,南方港美,H股,香港,个股,,中高
09988,阿里巴巴,H股,香港,个股,互联网,中高
110099,福能转债,可转债,A股,转债,,中
111005,富春转债,可转债,A股,转债,,中
113039,嘉泽转债,可转债,A股,转债,,中
113610,灵康转债,可转债,A股,转债,,中
113624,正川转债,可转债,A股,转债,,中
113628,晨丰转债,可转债,A股,转债,,中
113648,巨星转债,可转债,A股,转债,,中
113649,丰山转债,可转债,A股,转债,,中
113665,汇通转债,可转债,A股,转债,,中
113668,鹿山转债,可转债,A股,转债,,中
113671,武进转债,可转债,A股,转债,,中
113674,华设转债,可转债,A股,转债,,中
113680,丽岛转债,可转债,A股,转债,,中
113686,泰瑞转债,可转债,A股,转债,,中
113689,洛凯转债,可转债,A股,转债,,中
113697,应流转债,可转债,A股,转债,,中
118006,阿拉转债,可转债,A股,转债,,中
118011,银微转债,可转债,A股,转债,,中
118029,富淼转债,可转债,A股,转债,,中
118036,力合转债,可转债,A股,转债,,中
118037,上声转债,可转债,A股,转债,,中
118039,煜邦转债,可转债,A股,转债,,中
118040,宏微转债,可转债,A股,转债,,中
118044,赛特转债,可转债,A股,转债,,中
123088,威唐转债,可转债,A股,转债,,中
123092,天壕转债,可转债,A股,转债,,中
123112,万讯转债,可转债,A股,转债,,中
123126,瑞丰转债,可转债,A股,转债,,中
123129,锦鸡转债,可转债,A股,转债,,中
123130,设研转债,可转债,A股,转债,,中
123138,丝路转债,可转债,A股,转债,,中
123141,宏丰转债,可转债,A股,转债,,中
123147,中辰转债,可转债,A股,转债,,中
